Survey Year,Timestamp,SalaryUSD,Country,YearsWithThisDatabase,ManageStaff,YearsWithThisTypeOfJob,Education,HoursWorkedPerWeek,Gender,PrimaryDatabase_Amazon RDS (any flavor),PrimaryDatabase_Azure SQL DB,PrimaryDatabase_Cassandra,PrimaryDatabase_DB2,PrimaryDatabase_Elasticsearch,PrimaryDatabase_Microsoft Access,PrimaryDatabase_Microsoft SQL Server,PrimaryDatabase_MongoDB,PrimaryDatabase_MySQL/MariaDB,PrimaryDatabase_Oracle,PrimaryDatabase_Other,PrimaryDatabase_PostgreSQL,PrimaryDatabase_SAP,PrimaryDatabase_SQLite,PrimaryDatabase_Teradata,EmploymentStatus_Full time employee,EmploymentStatus_Full time employee of a consulting/contracting company,"EmploymentStatus_Independent consultant, contractor, freelancer,  or company owner",EmploymentStatus_Independent or freelancer or company owner,EmploymentStatus_Part time,JobTitle_Analyst,JobTitle_Analytics consultant,JobTitle_Architect,JobTitle_Consultant,JobTitle_DBA,"JobTitle_DBA (Development Focus - tunes queries, indexes, does deployments)",JobTitle_DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),"JobTitle_DBA (Production Focus - build & troubleshoot servers, HA/DR)",JobTitle_DBA / BI Developer,JobTitle_Data Scientist,JobTitle_Database Specialist,"JobTitle_DevOps, Sr Software Engineer DBA","JobTitle_Developer: App code (C#, JS, etc)","JobTitle_Developer: Business Intelligence (SSRS, PowerBI, etc)",JobTitle_Developer: T-SQL,JobTitle_Engineer,JobTitle_Manager,JobTitle_Other,JobTitle_Principal database engineer,JobTitle_Sales,JobTitle_Sr Consultant ,JobTitle_Systems Administrator,JobTitle_Technician ,CompanyEmployeesOverall_1-5,CompanyEmployeesOverall_100-249,CompanyEmployeesOverall_1000 or more,CompanyEmployeesOverall_250-499,CompanyEmployeesOverall_500-999,CompanyEmployeesOverall_6-99,CompanyEmployeesOverall_Not Asked,EducationIsComputerRelated_Missing,EducationIsComputerRelated_No,EducationIsComputerRelated_Yes,"Certifications_No, I never have","Certifications_Yes, and they're currently valid","Certifications_Yes, but they expired",LookingForAnotherJob_No,"LookingForAnotherJob_Yes, actively looking for something else","LookingForAnotherJob_Yes, but only passively (just curious)",CareerPlansThisYear_Change both employers and roles,CareerPlansThisYear_Not Asked,CareerPlansThisYear_Prefer not to say,"CareerPlansThisYear_Stay with the same employer,  but change roles","CareerPlansThisYear_Stay with the same employer, same role","CareerPlansThisYear_Stay with the same role, but change employers"
2017,2017-01-05 05:10:20.451,200000,1,10,0,5,3,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
2017,2017-01-05 05:26:23.388,61515,0,15,0,3,0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2017,2017-01-05 05:32:57.367,95000,0,5,1,25,3,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
2017,2017-01-05 05:33:03.316,56000,0,6,0,2,1,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
2017,2017-01-05 05:34:33.866,35000,0,10,0,10,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
2017,2017-01-05 06:05:47.744,215000,0,15,0,15,2,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
2017,2017-01-05 06:09:50.455,75000,0,16,0,11,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2017,2017-01-05 06:34:59.470,47000,0,4,0,1,3,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
2017,2017-01-05 06:43:23.462,41000,0,3,0,2,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
2017,2017-01-05 07:03:53.669,51652,0,8,1,10,0,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
